SH688129,N东来
SH600358,*ST联合
SZ002616,长青集团
SH600685,中船防务
SH600528,中铁工业
SH603838,四通股份
SH603668,天马科技
SZ002677,浙江美大
SH603315,福鞍股份
SZ002757,南兴股份
SZ000619,海螺型材
SZ300658,延江股份
SZ000718,苏宁环球
SZ002026,山东威达
SZ002766,*ST索菱
SZ000066,中国长城
SH600170,上海建工
SH600855,航天长峰
SZ000068,华控赛格
SZ300498,温氏股份
SH601988,中国银行
SH600346,恒力石化
SH600609,金杯汽车
SZ002572,索菲亚
SZ300427,红相股份
SH603788,宁波高发
SH603970,中农立华
SZ300510,金冠股份
SZ300636,同和药业
SZ300871,回盛生物
SZ300080,易成新能
SH603686,龙马环卫
SH601877,正泰电器
SZ002614,奥佳华
SZ000056,皇庭国际
SZ002742,三圣股份
SZ002162,悦心健康
SZ002479,富春环保
SZ002278,神开股份
SH603556,海兴电力
SH600665,天地源
SZ000671,阳光城
SZ002051,中工国际
SH603893,瑞芯微
SH900902,市北B股
SH600959,江苏有线
SH600241,*ST时万
SZ002973,侨银环保
SH603322,超讯通信
SH601399,ST国重装
SH600310,桂东电力
SZ300001,特锐德
SZ300521,爱司凯
SH600774,汉商集团
SZ002146,荣盛发展
SZ000576,广东甘化
SH600824,益民集团
SH603725,天安新材
SH600869,智慧能源
SZ002717,岭南股份
SZ000967,盈峰环境
SZ000909,数源科技
SH600719,大连热电
SH601997,贵阳银行
SZ000862,银星能源
SZ300280,紫天科技
SH603192,汇得科技
SZ300052,中青宝
SH603843,正平股份
SH600671,*ST目药
SH600593,大连圣亚
SH601989,中国重工
SH688039,当虹科技
SZ000833,粤桂股份
SH600236,桂冠电力
SH600896,览海医疗
SZ002825,纳尔股份
SZ300545,联得装备
SZ002780,三夫户外
SZ002336,ST人乐
SZ300825,阿尔特
SZ300174,元力股份
SH603076,乐惠国际
SH601658,邮储银行
SZ200054,建车B
SZ002508,老板电器
SH601179,中国西电
SZ300509,新美星
SZ200025,特力B
SH603355,莱克电气
SH601869,长飞光纤
SH603366,日出东方
SH601811,新华文轩
SZ000665,湖北广电
SH603179,新泉股份
SZ002927,泰永长征
SH600642,申能股份
SZ002808,恒久科技
SZ300758,七彩化学
SH603056,德邦股份
SH600649,城投控股
SZ002034,旺能环境
SH601766,中国中车
SH600366,宁波韵升
SH603081,大丰实业
SH600350,山东高速
SZ002902,铭普光磁
SH601200,上海环境
SH600066,宇通客车
SH601298,青岛港
SZ002524,光正眼科
SH600823,世茂股份
SZ002756,永兴材料
SH600057,厦门象屿
SZ000605,渤海股份
SH600299,安迪苏
SZ300608,思特奇
SH600874,创业环保
SZ002520,日发精机
SZ300802,矩子科技
SZ300230,永利股份
SZ001965,招商公路
SH601702,华峰铝业
SH601126,四方股份
SH601006,大秦铁路
SZ002598,山东章鼓
SH603519,立霸股份
SH600120,浙江东方
SZ002941,新疆交建
SZ300290,荣科科技
SH603032,德新交运
SH600271,航天信息
SH600694,大商股份
SZ002444,巨星科技
SH600619,海立股份
SH600460,士兰微
SZ000099,中信海直
SZ300890,翔丰华
SH601229,上海银行
SZ000989,九芝堂
SZ000553,安道麦A
SH688598,金博股份
SZ002871,伟隆股份
SZ000628,高新发展
SZ002398,垒知集团
SZ300160,秀强股份
SH603393,新天然气
SZ002672,东江环保
SH600562,国睿科技
SH688357,建龙微纳
SH603496,恒为科技
SH600107,美尔雅
SZ002791,坚朗五金
SZ002497,雅化集团
SZ002726,龙大肉食
SZ300680,隆盛科技
SH605168,三人行
SZ002227,奥特迅
SH600036,招商银行
SZ300134,大富科技
SZ002849,威星智能
SH603079,圣达生物
SH600362,江西铜业
SZ002789,建艺集团
SZ002179,中航光电
SH603158,腾龙股份
SZ002460,赣锋锂业
SH605088,冠盛股份
SH600150,中国船舶
SH600729,重庆百货
SH603950,长源东谷
SZ002230,科大讯飞
SZ300669,沪宁股份
SZ002415,海康威视
SH171395,20陕西36
SH171397,20陕西38
SH171392,20陕西33
SH171380,20陕西21
SH171362,20甘肃16
SH171365,20福建22
SH171361,20甘肃15
SH171310,20青岛13
SH171305,20海南17
SH171345,20北京15
SH171332,20厦门09
SH171333,20厦门10
SH171330,20厦门07
SH171329,20宁夏12
SH171323,20山东39
SH171317,20山东33
SH171316,20青岛19
SH171426,20龙江17
SH171406,20安徽13
SH171403,20陕西44
SH171476,20湖北47
SH171467,20湖北42
SH171463,20龙江26
SH171459,20辽宁18
SH171450,20云南24
SH171438,20湖北36
SH171497,20湖北52
SH171495,20湖北50
SH171514,20陕西50
SH171236,20广西27
SH171217,20山西12
SH171208,20深圳57
SH171213,20大连03
SH171200,20深圳49
SH171206,20深圳55
SH171273,20新疆22
SH171271,20新疆20
SH171266,20河南30
SH171268,20新疆17
SH171265,20河南29
SH171263,20河南27
SH171248,20贵州27
SH171247,20贵州26
SH171238,20贵州17
SH171237,20广西28
SH171295,20江西21
SH171297,20海南09
SH171288,20江西14
SH171262,20河南26
SH171250,20贵州29
SH171261,20河南25
SH171124,20宁夏08
SH171198,20深圳47
SH171163,20广东64
SH171161,20广东62
SH171098,20吉林16
SH171087,20新疆15
SH171083,20重庆07
SH171038,20安徽10
SH171276,20湖北27
SH171383,20陕西24
SH171134,20广东35
SH171180,20深圳29
SH171342,20吉林28
SH171032,20云南15
SH171024,20湖南22
SH171027,20湖南25
SH171073,20宁夏06
SH171064,20山东23
SH171061,20湖北23
SH171059,20湖北21
SH171050,20深圳26
SH171042,20河北15
SH171039,20安徽11
SH171139,20广东40
SH171137,20广东38
SH171117,20内蒙09
SH171099,20吉林17
SH171095,20吉林13
SH171517,20兵团06
SH171170,20青岛11
SH171036,20安徽08
SH171022,20湖南20
SH171000,20河南14
SH171422,20浙江22
SH171417,20浙江17
SH171455,20甘肃18
SH171504,20湖北59
SH171386,20陕西27
SH171477,20湖北48
SH171303,20海南15
SH171150,20广东51
SH171277,20湖北28
SH171240,20贵州19
SH171078,20贵州15
SH171142,20广东43
SH171062,20辽宁10
SH171058,20湖北20
SH171147,20广东48
SZ000966,长源电力
SH600282,南钢股份
SZ200512,闽灿坤B
SZ000816,ST慧业
SH601615,明阳智能
SH603278,大业股份
SH600193,ST创兴
SH600500,中化国际
SH600255,*ST梦舟
SZ002060,粤水电
SH600675,中华企业
SH603169,兰石重装
SH600068,葛洲坝
SZ000031,大悦城
SZ000065,北方国际
SH600290,*ST华仪
SZ300645,正元智慧
SH600795,国电电力
SH603829,洛凯股份
SH900952,锦港B股
SH603789,星光农机
SZ300501,海顺新材
SZ002442,龙星化工
SH600017,日照港
SH600821,*ST劝业
SH900911,金桥B股
SH600280,*ST中商
SZ300310,宜通世纪
SZ300190,维尔利
SH600851,海欣股份
SZ000598,兴蓉环境
SH171311,20青岛14
SH171308,20上海06
SH171304,20海南16
SH171302,20海南14
SH171355,20兵团05
SH171353,20兵团03
SH171352,20江苏13
SH171348,20北京18
SH171343,20吉林29
SH171346,20北京16
SH171341,20吉林27
SH171324,20山东40
SH171321,20山东37
SH171314,20青岛17
SH171315,20青岛18
SH171448,20西藏09
SH171430,20龙江21
SH171424,20浙江24
SH171423,20浙江23
SH171419,20浙江19
SH171410,20安徽17
SH171470,20湖北45
SH171498,20湖北53
SH171513,20陕西49
SH171502,20湖北57
SH171503,20湖北58
SH171211,20福建20
SH171202,20深圳51
SH171201,20深圳50
SH171275,20湖北26
SH171278,20湖北29
SH171272,20新疆21
SH171267,20新疆16
SH171251,20贵州30
SH171252,20贵州31
SH171390,20陕西31
SH171385,20陕西26
SH171377,20陕西18
SH171379,20陕西20
SH171372,20福建29
SH171375,20福建32
SH171231,20广西22
SH171228,20广西19
SH171222,20辽宁16
SH171219,20辽宁13
SH171249,20贵州28
SH171245,20贵州24
SH171246,20贵州25
SH171293,20江西19
SH171290,20江西16
SH171286,20青海18
SH171460,20新疆23
SH171462,20龙江25
SH171456,20北京21
SH171113,20龙江14
SH171111,20广西16
SH171102,20青海08
SH171101,20吉林19
SH171165,20辽宁11
SH171154,20广东55
SH171145,20广东46
SH171135,20广东36
SH171131,20广东32
SH171132,20广东33
SH171125,20北京12
SH171118,20内蒙10
SH171181,20深圳30
SH171091,20吉林09
SH171030,20山东21
SH171015,20四川65
SH171071,20宁夏04
SH171068,20甘肃09
SH171043,20河北16
SH171097,20吉林15
SH171096,20吉林14
SH171054,20四川69
SH171053,20四川68
SH171055,20湖北17
SH171048,20深圳24
SH171340,20吉林26
SH171481,20湖南47
SH171157,20广东58
SH171143,20广东44
SH171195,20深圳44
SH171189,20深圳38
SH171172,20山东25
SH171047,20深圳23
SH171040,20安徽12
SH171510,20龙江30
SH171205,20深圳54
SH171499,20湖北54
SH171427,20龙江18
SH171405,20陕西46
SH171400,20陕西41
SH171469,20湖北44
SH171166,20辽宁12
SH171284,20青海16
SH171212,20大连02
SH171466,20湖北41
SH171152,20广东53
SH171136,20广东37
SH171086,20新疆14
SH171084,20新疆12
SH171519,20厦门14
SH171401,20陕西42
SH171026,20湖南24
SH171509,20龙江29
SH171127,20河北20
SH171404,20陕西45
SZ002723,金莱特
SZ200570,苏常柴B
SZ002631,德尔未来
SZ002957,科瑞技术
SH600361,华联综超
SH600408,ST安泰
SH600740,山西焦化
SZ000572,ST海马
SZ300144,宋城演艺
SZ002121,*ST科陆
SZ000060,中金岭南
SZ002668,奥马电器
SH601398,工商银行
SZ002381,双箭股份
SH600888,新疆众和
SZ002168,惠程科技
SH601000,唐山港
SZ001979,招商蛇口
SH600968,海油发展
SH601916,浙商银行
SH600073,上海梅林
SH601939,建设银行
SH171393,20陕西34
SH171376,20福建33
SH171373,20福建30
SH171371,20福建28
SH171369,20福建26
SH171366,20福建23
SH171367,20福建24
SH171360,20甘肃14
SH171313,20青岛16
SH171357,20甘肃11
SH171344,20北京14
SH171338,20吉林24
SH171328,20宁夏11
SH171322,20山东38
SH171319,20山东35
SH171431,20龙江22
SH171434,20四川90
SH171428,20龙江19
SH171418,20浙江18
SH171413,20浙江13
SH171416,20浙江16
SH171409,20安徽16
SH171473,20吉林31
SH171468,20湖北43
SH171458,20北京23
SH171454,20陕西48
SH171451,20云南25
SH171445,20西藏06
SH171492,20北京24
SH171486,20辽宁20
SH171482,20湖南48
SH171109,20广西14
SH171224,20吉林20
SH171218,20山西13
SH171203,20深圳52
SH171274,20湖北25
SH171260,20河南24
SH171256,20贵州35
SH171259,20河南23
SH171257,20贵州36
SH171299,20海南11
SH171292,20江西18
SH171289,20江西15
SH171285,20青海17
SH171287,20青海19
SH171282,20湖北33
SH171515,20吉林34
SH171508,20广西30
SH171177,20山东30
SH171160,20广东61
SH171094,20吉林12
SH171089,20江西13
SH171035,20安徽07
SH171025,20湖南23
SH171020,20吉林07
SH171013,20陕西16
SH171041,20浙江12
SH171106,20青海12
SH171108,20青海14
SH171007,20河南21
SH171001,20河南15
SH171079,20贵州16
SH171052,20深圳28
SH171120,20内蒙12
SH171197,20深圳46
SH171199,20深圳48
SH171187,20深圳36
SH171183,20深圳32
SH171179,20山东32
SH171171,20青岛12
SH171264,20河南28
SH171296,20江西22
SH171396,20陕西37
SH171230,20广西21
SH171223,20辽宁17
SH171215,20山西10
SH171209,20深圳58
SH171505,20湖北60
SH171500,20湖北55
SH171432,20龙江23
SH171429,20龙江20
SH171151,20广东52
SH171336,20厦门13
SH171320,20山东36
SH171100,20吉林18
SH171092,20吉林10
SH171033,20海南07
SH171003,20河南17
SH171057,20湖北19
SH171153,20广东54
SH171155,20广东56
SH171138,20广东39
SH171184,20深圳33
SH171173,20山东26
SH171169,20四川72
SH171520,20厦门15
SH171337,20吉林23
SH171354,20兵团04
SH171114,20龙江15
SH171103,20青海09
SH171167,20四川70
SH171133,20广东34
SH171174,20山东27
SH171012,20陕西15
SH171483,20天津56
SH171104,20青海10
SH171389,20陕西30
SZ200539,粤电力B
SZ002102,ST冠福
SZ002480,新筑股份
SZ200029,深深房B
SZ000882,华联股份
SH600325,华发股份
SZ002470,*ST金正
SZ002176,*ST江特
SZ300431,暴风退
SZ002052,*ST同洲
SZ000008,神州高铁
SZ300307,慈星股份
SH603013,亚普股份
SH601992,金隅集团
SZ000539,粤电力A
SH600578,京能电力
SZ300721,怡达股份
SZ200869,张裕B
SH600805,悦达投资
SZ002244,滨江集团
SH600717,天津港
SZ002512,达华智能
SH171309,20上海07
SH171356,20甘肃10
SH171347,20北京17
SH171339,20吉林25
SH171335,20厦门12
SH171318,20山东34
SH171112,20广西17
SH171110,20广西15
SH171493,20北京25
SH171480,20四川92
SH171433,20贵州37
SH171420,20浙江20
SH171414,20浙江14
SH171475,20吉林33
SH171471,20湖北46
SH171465,20龙江28
SH171461,20龙江24
SH171457,20北京22
SH171447,20西藏08
SH171441,20湖北39
SH171439,20湖北37
SH171435,20四川91
SH171487,20安徽20
SH171518,20兵团07
SH171512,20山西15
SH171501,20湖北56
SH171394,20陕西35
SH171399,20陕西40
SH171382,20陕西23
SH171359,20甘肃13
SH171363,20甘肃17
SH171234,20广西25
SH171258,20河南22
SH171254,20贵州33
SH171294,20江西20
SH171229,20广西20
SH171220,20辽宁14
SH171221,20辽宁15
SH171214,20山西09
